Combined Statistical Summary
========================================

                                date  underlying_price      vol_5d     vol_10d     vol_20d     vol_50d  momentum_5d  momentum_10d  momentum_20d  momentum_50d     month_1     month_3     month_6      year_1      year_2      year_3      year_5      year_7     year_10     year_20     year_30   vix_index  skew_index     yc_pc_1     yc_pc_2     yc_pc_3  dividend_yield  volatility_risk_premium  days_until_next_dividend  vol_term_slope  mom_term_slope  skew_vix_ratio
count                            893        893.000000  893.000000  893.000000  893.000000  893.000000   893.000000    893.000000    893.000000    893.000000  893.000000  893.000000  893.000000  893.000000  893.000000  893.000000  893.000000  893.000000  893.000000  893.000000  893.000000  893.000000  893.000000  893.000000  893.000000  893.000000      893.000000               893.000000                893.000000      893.000000      893.000000      893.000000
mean      2023-02-09 00:30:38.297872        462.398668    0.163436    0.170114    0.175070    0.182999     0.000854      0.002058      0.004983      0.013367    0.029118    0.029776    0.029941    0.029196    0.028265    0.028007    0.028407    0.029581    0.030493    0.034455    0.034160   20.895286  140.041926    0.018088   -0.001411    0.003315        0.015456                 0.025954                 45.753639        0.019563        0.012513        7.496344
min              2019-05-10 00:00:00        222.949997    0.010639    0.043493    0.059097    0.067334    -0.091519     -0.145623     -0.200798     -0.278164    0.000000    0.000000    0.000200    0.000400    0.000900    0.001100    0.002100    0.003900    0.005400    0.008700    0.009900   11.930000  111.620003   -0.068899   -0.028181   -0.008638        0.000000                -0.377252                  1.000000       -0.886391       -0.236191        1.386625
25%              2021-07-28 00:00:00        392.589996    0.085348    0.100130    0.107046    0.116423    -0.004909     -0.006236     -0.007864     -0.004512    0.001000    0.001200    0.001600    0.001800    0.003900    0.005800    0.009400    0.013200    0.015700    0.020400    0.020800   15.890000  131.270004   -0.057310   -0.006741   -0.003038        0.012916                 0.010987                 23.000000       -0.020422       -0.003941        5.399121
50%              2023-03-17 00:00:00        443.359985    0.130786    0.136643    0.141362    0.145007     0.002745      0.004912      0.010657      0.023661    0.042800    0.043200    0.042500    0.040000    0.037900    0.037300    0.036800    0.037200    0.037000    0.040100    0.038400   18.840000  139.410004    0.055517   -0.001693    0.003469        0.014076                 0.034983                 46.000000        0.026646        0.022261        7.493936
75%              2024-10-11 00:00:00        559.609985    0.189314    0.194539    0.198770    0.216522     0.007928      0.013461      0.020928      0.041656    0.047500    0.047500    0.047700    0.046500    0.042900    0.042000    0.040900    0.041800    0.042800    0.046300    0.045600   23.959999  149.089996    0.063796    0.006160    0.008700        0.017375                 0.061779                 67.000000        0.060736        0.038510        9.456354
max              2025-09-12 00:00:00        657.630005    1.402254    1.118630    0.935023    0.665763     0.058515      0.067406      0.100969      0.123868    0.057900    0.056300    0.056100    0.054900    0.051900    0.050300    0.049200    0.049800    0.049500    0.052700    0.050900   82.690002  183.119995    0.092062    0.017617    0.016475        0.026588                 0.320997                 98.000000        0.508986        0.108020       13.159749
std                              NaN         99.677262    0.141492    0.130323    0.121280    0.107601     0.013458      0.020057      0.029564      0.044986    0.022590    0.022327    0.021666    0.020368    0.018417    0.017208    0.015701    0.014808    0.014201    0.013612    0.012662    7.930088   13.674657    0.058489    0.008625    0.006435        0.003461                 0.078316                 26.315902        0.120142        0.040692        2.479930
skewness                         NaN          0.116739    4.121548    3.746057    3.368581    2.430077    -1.242911     -1.736834     -1.911253     -1.931035   -0.268595   -0.325750   -0.374461   -0.420232   -0.509157   -0.556025   -0.571743   -0.556229   -0.510072   -0.484004   -0.367067    2.677750    0.241888   -0.445015   -0.479072    0.208618        1.306400                -1.703877                  0.024624       -1.811986       -1.838667        0.017296
kurtosis                         NaN         -0.948114   24.723128   18.620496   14.714589    6.945628     6.555259      7.855096      9.260361      7.004962   -1.705397   -1.677052   -1.620080   -1.549998   -1.473719   -1.435893   -1.393929   -1.374480   -1.386356   -1.367163   -1.444257   12.062799   -0.214311   -1.590214   -0.038570   -1.183672        2.429878                 6.106333                 -1.175283       14.649088        6.057745       -0.853934
