Skewness and Kurtosis Summary
========================================

                          skewness   kurtosis
underlying_price          0.116739  -0.948114
vol_5d                    4.121548  24.723128
vol_10d                   3.746057  18.620496
vol_20d                   3.368581  14.714589
vol_50d                   2.430077   6.945628
momentum_5d              -1.242911   6.555259
momentum_10d             -1.736834   7.855096
momentum_20d             -1.911253   9.260361
momentum_50d             -1.931035   7.004962
month_1                  -0.268595  -1.705397
month_3                  -0.325750  -1.677052
month_6                  -0.374461  -1.620080
year_1                   -0.420232  -1.549998
year_2                   -0.509157  -1.473719
year_3                   -0.556025  -1.435893
year_5                   -0.571743  -1.393929
year_7                   -0.556229  -1.374480
year_10                  -0.510072  -1.386356
year_20                  -0.484004  -1.367163
year_30                  -0.367067  -1.444257
vix_index                 2.677750  12.062799
skew_index                0.241888  -0.214311
yc_pc_1                  -0.445015  -1.590214
yc_pc_2                  -0.479072  -0.038570
yc_pc_3                   0.208618  -1.183672
dividend_yield            1.306400   2.429878
volatility_risk_premium  -1.703877   6.106333
days_until_next_dividend  0.024624  -1.175283
vol_term_slope           -1.811986  14.649088
mom_term_slope           -1.838667   6.057745
skew_vix_ratio            0.017296  -0.853934
